科室,性别,年龄,疾病种类,是否住院,费用,是否有总费用详情,挂号费,检查费,检验费,材料费,床位费,治疗费,护理费,氧气费,监护费,血糖监测,药品费,时长,费用详情,结算
妇科,2,18-60,子宫内膜息肉,0,1000-2000,0,1,120/130/300/480,0,0,0,660,0,0,0,0,200+100,1,1000-2000元（挂号费10元+治疗费660+药品费100-200）或+检查费120元或130元或300或480）,当天
妇科,2,18-40,人流,0,1980-1680-1500,0,1,0,0,0,0,1980/1680/1500,0,0,0,0,300+180,1,无痛1980，普通1680或1500。,1-5天
妇科,2,18-45,宫颈囊肿,0,750-810,0,1,0,0,0,0,680,0,0,0,0,120+60,1,680元(leep刀）+药品费60-120元+10元挂号费,当天
妇科,2,30-50,取环,0,280,0,1,0,0,0,0,270,0,0,0,0,120+80,1,280元（治疗费+10元挂号费）,当天
妇科,2,30-45,安环,0,360,0,1,0,0,0,0,350,0,0,0,0,120+20,1,360元（治疗费+10元挂号费）,当天
妇科,2,18-40,盆腔炎待查,0,1000-2000,0,1,200-400,0,0,0,1,0,0,0,0,180+300,1,1000-2000元（治疗费+10元挂号费+药品费+检查费）,5-7天
妇科,2,18-40,宫颈炎待查,0,550-680-880-1280,0,1,550/680/880/1280,0,0,0,560/680/880/1280,0,0,0,0,180+300,1,550元或者680元或者880元或者1280元,5-8天
妇科,2,16-40,痛经待查,0,100-200,0,1,120,0,0,0,0,0,0,0,0,50+50,1,100-200元（挂号费10元+检查费120元）（或+药品费）,当天
妇科,2,18-40,月经不调,0,370,0,1,120,250,0,,0,0,0,0,0,90+50,1,235元（性激素6项）+彩超120元+血常规15元,
康复科,3,38-65,腰腿痛,0,100-1000,0,1,0,0,0,0,110,0,0,0,0,0,"5,7",100-1000元（根据治疗周期决定）,5-7天
康复科,3,38-65,腰肌劳损,0,100-1000,0,1,0,0,0,0,100,0,0,0,0,0,"5,7",100-1000元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）（或5-7天）,5-7天
康复科,3,38-65,肩周炎,0,100-1000,0,1,0,0,0,0,90,0,0,0,0,0,"5,7",100-1000元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）,5-7天
康复科,3,38-65,急性腰扭伤,0,100-1000,0,1,0,0,0,0,90,0,0,0,0,0,"3,5",100-1000元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）,3-5天
康复科,3,38-65,带状疱疹后遗神经痛,0,100-1000,0,1,0,0,0,0,95,0,0,0,0,0,"5,7",100-1000元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）（或3-15天）,5-7天
康复科,3,38-65,风湿病,0,100-1000,0,1,0,0,0,0,100,0,0,0,0,0,"5,7",100-1000元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）（或3-15天）,5-7天
康复科,3,38-65,腰椎间盘突出,0,100-1000,0,1,0,0,0,0,110,0,0,0,0,0,"5,7",100-1000元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）,5-7天
康复科,3,38-65,腱鞘炎,0,100-1000,0,1,0,0,0,0,100,0,0,0,0,0,"5,7",100-1000元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）,5-7天
康复科,3,38-65,肌腱炎,0,100-1000,0,1,0,0,0,0,100,0,0,0,0,0,"5,7",100-1000元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）,5-7天
康复科,3,16-65,脚崴伤,0,100-500,0,1,0,0,0,0,60,0,0,0,0,0,"5,7",100-500元（挂号费10元+治疗费）（治疗费根据治疗时间3-5天不等）,5-7天
